filename,Alambadi,Amritmahal,Ayrshire,Banni,Brown_Swiss,Gir,Guernsey,Hallikar,Hariana,Holstein_Friesian,Jersey,Kangayam,Kankrej,Krishna_Valley,Nagori,Ongole,Pulikulam,Rathi,Red_Sindhi,Sahiwal,Tharparkar,Vechur
00000074_jpg.rf.5ee19c881dd810033dbf13e355f15b3c.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hariana_45_jpg.rf.ca4f29f2216127b1c0b139624552be23.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey_195_jpg.rf.861f3950b9455b9bc985e0bd05d07557.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ongole_51_jpg.rf.b3d038ae6c4f3301b520dfdbab1a1662.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Krishna_Valley_121_jpg.rf.fc659196cb6d58507153d89be1d7acd4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00000074_jpg.rf.d58b6051da3c5f1694477ec628dba5f6.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000344_jpg.rf.c0d3b394b0f732f0fbb9589af33bace0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kankrej_85_jpg.rf.26ced61010f9c9daf4e1cae67614ca20.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Holstein_Friesian_85_jpg.rf.dfaf492bac4e6201360cd32a7bc1b3d8.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gir_162_jpg.rf.20438a39d38b0dcb4a53cca63eb1a617.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000386_jpg.rf.25fc28da7c7dd3816de4465bc955e994.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jersey_45_jpg.rf.507ce0566e8c0abfd2cfc3c7df3e5f28.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tharparkar_71_jpg.rf.b5100fe7a9690348bdc19adf39cf11d8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gir_162_jpg.rf.15deefb5514e1a821d5dbe04feee36f5.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hariana_80_jpg.rf.3cf98ddda16c9aff52f99a711422fc36.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire_209_jpg.rf.9b041cee4fd9cc5e542f2aae349f7fe6.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alambadi_96_jpg.rf.c5980cdf508b3292f1384b16261174a0.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holstein_Friesian_299_jpg.rf.f7c790d272f41357b9cad5704b179cd0.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Krishna_Valley_1_jpg.rf.798cf86044c316843448b4bb5e42c82e.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00000074_jpg.rf.5cc99d7b871e41228f81d9ed57548b81.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000147_jpg.rf.cf9a1dc9d5f239dedd67bb41ad335636.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red_Sindhi_75_jpg.rf.92ba619673b32cb5be02b29a72dcef63.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brown_Swiss_185_jpg.rf.3080085f61407e2ac682054a8796aca1.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire_41_jpg.rf.ba458f774da8cc202442f308d12384fb.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sahiwal_429_jpeg.rf.cb8a3a4748a367fd0ceb8a3ca832403e.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holstein_Friesian_203_jpg.rf.b7f5edcea4f261af9f00cf1f4540de3d.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Krishna_Valley_84_jpg.rf.4659843f2d87d4be4de10a1cd29b7450.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ayrshire_92_jpg.rf.341482f2fa86f4aaa32b61463d639a6d.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown_Swiss_31_jpg.rf.0ca1a3deac66bf52bb96eee9960ed237.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sahiwal_355_jpg.rf.26deacd9a8cf8b6c267d7db361bf4c00.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00000074_jpg.rf.7cf7f0e943216ec5bf65bfa29a16d067.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000100_jpg.rf.430d30090df422a4e50ec5158b7ca65d.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alambadi_63_jpg.rf.9b35806b7fa3c1d44eafa19026174cf0.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
